Hero           L2(xp)/AP  L3(xp)/AP  L4(xp)/AP  L5(xp)/AP  L6(xp)/AP   L7(xp)/AP   L8(xp)/AP   L9(xp)/AP  L10(xp)/AP

Alchemist      6/1   13/2   25/4   40/6   70/9   120/12  180/16  250/21  350/27
Barbarian      4/1    8/2   16/4   35/7   70/10  120/14  180/18  250/23  350/29
Bard           6/1   12/2   25/4   50/6  100/9   150/12  200/16  300/21  400/27
General        4/1    8/2   14/4   28/6   55/9   100/12  170/16  250/21  350/27
Monk           3/1    6/3   12/5   25/7   50/10  100/13  180/17  240/22  300/28
Necromancer    5/1   10/2   18/4   35/6   65/9   100/13  150/17  250/22  350/28
Paladin        5/1   10/2   18/4   32/6   64/9   120/13  200/17  300/22  400/28
Priest         4/1    8/2   15/4   30/6   50/9    80/12  120/16  200/21  300/27
Ranger         4/1    8/2   16/4   32/6   64/9   120/13  200/17  300/22  400/28
Shaman         4/1    8/2   15/4   30/6   50/9    80/12  120/16  200/21  300/27
Summoner       4/1    8/3   15/5   30/8   60/11  120/15  180/19  250/24  350/30
Thief          5/1   10/2   18/4   35/6   60/9   100/12  160/16  250/21  350/27
Vampire        5/1   10/2   20/4   40/6   80/9   150/13  300/18  400/24  500/31
Warrior        3/1    6/2   12/4   20/6   40/9    80/12  140/16  200/21  260/27
Wizard         5/1   10/2   16/4   32/7   50/10   80/14  120/19  200/24  300/30


#EXP   Alc  Brb  Brd  Gen  Mnk  Nec  Pal  Pri  Ran  Sha  Sum  Thi  Vam  War  Wiz
#
# 10     1    2    1    2    3    2    2    2    2    2    3    2    2    2    2
# 20     2    4    2    4    5    4    4    4    4    4    5    4    4    6    4
# 30     4    4    4    6    7    4    4    6    4    6    8    4    4    6    4
# 40     6    7    4    6    7    6    6    6    6    6    8    6    6    9    7
# 50     6    7    6    6   10    6    6    9    6    9    8    6    6    9   10
# 60     6    7    6    9   10    6    6    9    6    9   11    9    6    9   10
# 70     9   10    6    9   10    9    9    9    9    9   11    9    6    9   10
# 80     9   10    6    9   10    9    9   12    9   12   11    9    9   12   14
# 90     9   10    6    9   10    9    9   12    9   12   11    9    9   12   14
#100     9   10    9   12   13   13    9   12    9   12   11   12    9   12   14
#110     9   10    9   12   13   13    9   12    9   12   11   12    9   12   14
#120    12   14    9   12   13   13   13   16   13   16   15   12    9   12   19
#130    12   14    9   12   13   13   13   16   13   16   15   12    9   12   19
#140    12   14    9   12   13   13   13   16   13   16   15   12    9   16   19
#150    12   14   12   12   13   17   13   16   13   16   15   12   13   16   19
#160    12   14   12   12   13   17   13   16   13   16   15   16   13   16   19
#170    12   14   12   16   13   17   13   16   13   16   15   16   13   16   19
#180    16   18   12   16   17   17   13   16   13   16   19   16   13   16   19
#190    16   18   12   16   17   17   13   16   13   16   19   16   13   16   19
#200    16   18   16   16   17   17   17   21   17   21   19   16   13   21   24
